Unnamed: 0,№,Title,Artist(s),lyrics,genres
82,83,"""Prayer for the Dying""",Seal,"15 ContributorsPrayer for the Dying Lyrics
Fearless people
Careless needle
Harsh words spoken
And lives are broken
Forceful agin'
Help me, I'm fadin'
Heaven's waitin'
It's time to move on

Crossin' that bridge
With lessons I've learned
Playing with fire
And not getting burned
I may not know what you're going through
But time is the space between me and you
Life carries on
It goes on

Just say, ""Die,"" and that would be pessimistic
In your mind, we can walk across water
Please don't cry, it's just a prayer for the dyin'
I just don't know what's got into me

Been crossin' that bridge
With lessons I've learned
Playin' with fire
And not gettin' burned
I may not know what you're goin' through
But time is the space between me and you
There is a light through that window
Hold on say, ""Yes,"" while people say, ""No""
Life carries on
It goes on
I'm crossin' that bridge
With lessons I've learned
I'm playin' with fire
And not gettin' burned
I may not know what you're going through
But time is the space between me and you
There is a light through that window
Hold on say, ""Yes,"" while people say, ""No""
Life carries on
It goes on
It goes on
Goes, goes
Life carries on

When nothin' else matters
When nothin' else matters
I just don't know what's got into me
It's just a prayer for the dyin'
For the dyin'","soul, pop, singer-songwriter, 90s, rock"
83,84,"""Secret""",Madonna,"27 ContributorsTranslationsPortuguêsItalianoУкраїнськаSecret Lyrics“Secret” was the lead single from Madonna’s 1994 album Bedtime Stories. The song signaled a shift in musical style and production for the superstar, moving from the hard-edged dance tracks of the early ‘90s… Read More 
Things haven't been the same
Since you came into my life
You found a way to touch my soul
And I'm never, ever, ever gonna let it go

Happiness lies in your own hand
It took me much too long to understand how it could be
Until you shared your secret with me

Something's comin' over
Mmm-mmm, something's comin' over
Mmm-mmm, something's comin' over me
My baby's got a secret

You gave me back the paradise
That I thought I lost for good
You helped me find the reasons why
It took me by surprise that you understood
You knew all along what I never wanted to say
Until I learned to love myself
I was never ever loving anybody else

Happiness lies in your own hand
It took me much too long to understand how it could be
Until you shared your secret with me

Something's comin' over
Mmm-mmm, something's comin' over
Mmm-mmm, something's comin' over me
My baby's got a secret
Mmm-mmm, something's comin' over
Mmm-mmm, something's comin' over
Mmm-mmm, something's comin' over me
My baby's got a secret

Happiness lies in your own hand
It took me much too long to understand how it could be
Until you shared your secret with me

Mmm-mmm, something's comin' over
Mmm-mmm, something's comin' over
Mmm-mmm, something's comin' over me
My baby's got a secret
Mmm-mmm, something's comin' over
Mmm-mmm, something's comin' over
Mmm-mmm, something's comin' over me
My baby's got a secret

Mmm-mmm, my baby's got a secret
Mmm-mmm, my baby's got a secret
Mmm-mmm, my baby's got a secret for me
Mmm-mmm, mmm-mmm, mmm-mmm","pop, dance, female vocalists, 80s, electronic"
84,85,"""Here Comes the Hotstepper""",Ini Kamoze,"49 ContributorsHere Comes the Hotstepper LyricsIni Kamoze’s biggest hit outside Jamaica. The Intro/Break “na na na""s are from Land of 1000 Dances, most famously recorded by Wilson Pickett in 1966.
The professional wrestling tag team the Public Enemy used… Read More 
Hey! Hit It!

Nah, na na na nah
Na na na nah, na na nah, na na nah
Na na na nah
Nah, na na na nah
Na na na nah, na na nah, na na nah
Na na na nah

Here comes the hotstepper (murderer)
I'm the lyrical gangster (murderer)
Big up di crew ina di area (murderer)
Still love you like that (murderer)

No no we don't die
Yes we mul-ti-ply
Anyone press will hear the fat lady sing
Act like you know, RICO
I know what Bo don't know
Touch them up and go, uh-oh!
Ch-ch-chang chang

Here comes the hotstepper (murderer)
I'm the lyrical gangster (murderer)
Excuse me Mr. Officer (murderer)
Still love you like that (murderer)

Extra-ordinary
Juice like a strawberry
Money to burn baby, all of the time
Cut to fit is me
Fit to cut is she
Come juggle with me, I say every time

Here comes the hotstepper (murderer)
I'm the lyrical gangster (murderer)
Dial emergency number (murderer)
Still love you like that (murderer)

Nah, na na na nah
Na na na nah, na na nah, na na nah
Na na na nah
It's how we do it man
Nah, na na na nah
Na na na nah, na na nah, na na nah
Na na na nah

Hey
Start like a jackrabbit
Finish in front of it
I'm the nineties' Jack, that's it, understand?
I'm the daddy of the mack daddy
Is a lucky thing God made me
Ain't no homie gonna play me, top celebrity man

Murderer
I'm the lyrical gangster (murderer)
Excuse me Mister Officer (murderer)
Still love you like that (murderer)

No no we don't die
Yes we mul-ti-ply
Anyone test will hear the fat lady sing
Act like you know, G-go
I know what Bo don't know
Touch them up and go, uh-oh!
Ch-ch-chang chang

Here comes the hotstepper (murderer)
I'm the lyrical gangster (murderer)
Big up the crew in-a the area (murderer)
Still love you like that (murderer)

Nah, na na na nah
Na na na nah, na na nah, na na nah
Na na na nah
Yeah man, that's how it is
Nah, na na na nah
Na na na nah, na na nah, na na nah
Na na na nah
Right?

Here comes the hotstepper (murderer)
I'm the lyrical gangster (murderer)
Big up all crew bow ya (murderer)
Still love you like that (murderer)
Here comes the hotstepper (murderer)
I'm the lyrical danger (murderer)
Big up the crew in-a the area (murderer)
Still love you like that (murderer)
Here comes the hotstepper
I'm the lyrical gangster
I'm a live in-a me danger
Still love you like that

Hey
Da da da da
Da da da da
Da da da da","reggae, dancehall, 90s, jamaica, ragga"
85,86,"""Everyday""",Phil Collins,"15 ContributorsEveryday LyricsSecond single off the album Both Sides, the song deals with the hardship to try to forget a past relationship with a person one once loved very strongly.
I got lost, couldn't find my way
And I guess there's nothing more to say
Love can make you blind, make you act so strange
But I'm here and here I'll stay
So everyday I cry (Everyday)
Yes, everyday I fall (Everyday)
Do you ever wonder why (Everyday)
Why I love everything about you

But everyday I say I'll try
To make my heart be still
Till then every way there is to cry
Ourselves to sleep we will

It picked me up, knocked me off my feet
I've got no way to explain
Still I love you, love you, love you, but this fire inside
Will never see the light of day
So everyday goes by (Everyday)
And everyday I fall (Everyday)
It makes me wonder why (Everyday)
My life's worth nothing without you

But everyday I say I'll try
To make my heart be still
'Cause every way there is to cry
Ourselves to sleep we will

You'll never know, no, no, no, no, no
You'll never know just how close we were
You'll never know, no, no, no, no, no
You'll never know, no, you'll never see

The book closes and we try to forget
But I know that things won't change
Ooh, how we feel, how life goes on
And that seems so strange
And so the light fades away (Everyday)
Try, try, try as I may (Everyday)
I can't stop thinking about you (Everyday)
It seems my life's worth nothing without you

But everyday I say I'll try
To make my heart be still
Til' then every way there is to cry
Ourselves to sleep we will

Everyday, everyday, you know I try so hard
Everyday, everyday, ooh, it gets a little harder
Everyday, everyday, you know I try so hard
Everyday, everyday, ooh, it gets a little harder
Everyday, everyday, you know I try so hard","pop, 80s, rock, classic rock, soft rock"
86,87,"""Don't Take the Girl""",Tim McGraw,"21 ContributorsDon’t Take the Girl LyricsA simple yet powerful ballad about three stages in a young man’s life, this song topped the Country Billboard charts for two weeks in 1994 and was Tim McGraw’s second ever song to reach that height.  The song… Read More 
Johnny's daddy was taking him fishing
When he was eight years old
A little girl came through the front gate
Holding a fishing pole
His dad looked down and smiled
Said, ""We can't leave her behind
Son, I know you don't want her to go
But someday, you'll change your mind""

And Johnny said

Take Jimmy Johnson, take Tommy Thompson
Take my best friend, Beau
Take anybody that you want
As long as she don't go
Take any boy in the world
Daddy, please, don't take the girl

Same old boy, same sweet girl
Ten years down the road
He held her tight and kissed her lips
In front of the picture show
Stranger came and pulled a gun
Grabbed her by the arm
Said, ""If you do what I tell you to
There won't be any harm""

And Johnny said

Take my money, take my wallet
Take my credit cards
Here's the watch that my grandpa gave me
Here's the key to my car
Mister, give it a whirl
But, please, don't take the girl

Same old boy, same sweet girl
Five years down the road
There's gonna be a little one
And she says, ""It's time to go""
Doctor says, ""The baby's fine
But you'll have to leave
'Cause his mama's fading fast""
And Johnny hit his knees

And there, he prayed

Take the very breath you gave me
Take the heart from my chest
I'll gladly take her place if you'll let me
Make this my last request
Take me out of this world
God, please, don't take the girl

Johnny's daddy was taking him fishing
When he was eight years old","country, Tim McGraw, modern country, male vocalists, male"
87,88,"""Got Me Waiting""",Heavy D & the Boyz,"5 ContributorsGot Me Waiting Lyrics
Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you
I really, really want to know you
You got me thinking
I want your love

I got a funny feeling, honey, that you're kind of digging me
But every time you see me, word is born, you be ignoring me
I know your name, yes, I do, because your girls told me
I know where you live, you want to bet, because your girls showed me
But I'll parlay and stay out of your way
Figuring I won't be ignorant and catch you the next day
When I'm in focus, I notice you only move with a chosen few
Irreplaceable, what's up with insatiable you
I never figured you for the quiet type
On the down low, the low pro-file type
I always thought you was a rah-rah mama
Stirring up crazy confusion, causing drama
What's the matter, huh? Cat got your tongue
Or some mack got you strung, or maybe I ain't the one
I want to know cause if I don't, it's going to haunt me
Yo, word up, you got me thinking you want me

Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you
I really, really want to know you
You got me thinking
I want your love

I'm steady picking my brain, trying to figure your game
What's your angle, tell me where you're coming from
The whole picture is strange, so I'm digging the frame
Because I like what I see and I want some
So tell me what's your plot, what's your plan?
You're looking for a brother to get got? I'm not your man
But believe in me, you want to be with me
But you won't even talk to me to tell me what it is you see in me
I gotta hear it from your girls, Uptown
The word got around from my crew in Brooklyn and in the Boogie Down
Said you had a thing for me
And what would it take for a date, and wait, swing with me
I got your cards, you're playing hard to get
I'm long and I'm strong, and if it's on, I keep it soft and wet
Let me know cause if you don't, it's going to haunt me
Yo, word up, you got me, thinking you want me

Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you
I really, really want to know you
You got me thinking
I want your love

Hey, yo (hey, yo, hey, yo...)
Look at all the cuties, swinging in the party
Hey, yo (hey, yo, hey, yo...)
Look at all the cuties, swinging in the party

I never stumble cause I'm humble and I'm ready to rap
You got me feeling like I'm sleeping, and it's keeping me trapped
But still in all, you want to stroll and have a fella on layaway
Fronting for nothing like it's something for me to stay away
Emotional trips, get a grip because I'm losing it
Ideas were clear, had it in gear, now you're confusing it
I had the thought that you were caught and you were going steady
Wasn't checking for me 'cause you had a friend already
But I'ma put it all aside, cause God is my guide
Swallow my pride, stride, and follow my guide
Let me know cause if you don't, it's going to haunt me
Yo, word up, you got me thinking you want me

Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you
I really, really want to know you
You got me thinking
I want your love
Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you
I really, really want to know you
You got me thinking
I want your love
Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you
I really, really want to know you
You got me thinking
I want your love
Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you","Hip-Hop, rap, new jack swing, hip hop, old school"
88,89,"""December, 1963 (Oh, What a Night)""",The Four Seasons,"36 ContributorsDecember, 1963 (Oh, What a Night) Lyrics“December 1963 (Oh, What a Night)” was featured on The Four Seasons‘ 1975 album Who Loves You. It was written by Bob Gaudio (who also produced the song) and his future wife Judy Parker.
Originally, the song… Read More 
Oh, what a night
Late December, back in '63
What a very special time for me
As I remember, what a night

Oh, what a night
You know, I didn't even know her name
But I was never gonna be the same
What a lady, what a night

Oh, I, I got a funny feeling
When she walked in the room
And my, as I recall
It ended much too soon

(Oh, what a night)
Hypnotizing, mesmerizin' me
She was everything I dreamed she'd be
Sweet surrender, what a night

And I felt a rush
Like a rolling bolt of thunder
Spinning my head around
And takin' my body under
(Oh, what a night)

Oh, I got a funny feeling
When she walked in the room
And my, as I recall
It ended much too soon

(Oh, what a night)
Why'd it take so long to see the light?
Seemed so wrong, but now it seems so right
What a lady, what a night

Oh, I felt a rush
Like a rolling bolt of thunder
Spinning my head around
And takin' my body under

(Oh, what a night)
Do do do, do do, do do do do
(Oh, what a night)
Do do do, do do, do do do do
(Oh, what a night)
Do do do, do do, do do do do
(Oh, what a night)
Do do do, do do, do do do do...","60s, oldies, pop, rock, classic rock"
89,90,"""Indian Outlaw""",Tim McGraw,"12 ContributorsIndian Outlaw Lyrics
I'm an Indian outlaw
Half Cherokee and Choctaw
My baby, she's a Chippewa
She's one of a kind

All my friends call me Bear Claw
The village chieftain is my paw-paw
He gets his orders from my maw-maw
She makes him walk the line
You can find me in my wigwam
I'll be beatin' on my tom-tom
Pull out the pipe and smoke you some
Hey, and pass it around

'Cause I'm an Indian outlaw
Half Cherokee and Choctaw
My baby, she's a Chippewa
She's one of a kind

I ain't lookin' for trouble
We can ride my pony double
Make your little heart bubble
Lord, like a glass of wine
I remember the medicine man
He caught Running Water in my hands
Drug me around by my headband
Said I wasn't her kind

'Cause I'm an Indian outlaw
Half Cherokee and Choctaw
My baby, she's a Chippewa
She's one of a kind

I can kill a deer or buffalo
With just my arrow and my hickory bow
From a hundred yards, don't you know?
I do it all the time
They all gather 'round my tipi
Late at night, tryin' to catch a peek at me
In nothin' but my buffalo briefs
I got them standin' in line

'Cause I'm an Indian outlaw
Half Cherokee and Choctaw
My baby, she's a Chippewa
She's one of a kind

Cherokee people, Cherokee tribe
So proud to live, so proud to die","country, Tim McGraw, modern country, male vocalists, male"
90,91,"""Always""",Bon Jovi,"43 ContributorsTranslationsPortuguêsΕλληνικάEspañolAlways Lyrics“Always” is a power ballad by Bon Jovi. It is the opening track of the first greatest hits album Cross road, which was released in October 1994.
This song was originally meant to be the soundtrack for the… Read More 
This Romeo is bleedin', but you can't see his blood
It's nothin' but some feelin's that this old dog kicked up
It's been rainin' since you left me, now I'm drownin' in the flood
You see, I've always been a fighter, but without you, I give up

I can't sing a love song like the way it's meant to be
Well, I guess I'm not that good anymore, but baby, that's just me

Yeah, I will love you, baby
Always
And I'll be there forever and a day
Always
I'll be there 'til the stars don't shine
'Til the heavens burst and the words don't rhyme
I know when I die, you'll be on my mind
And I love you
Always

Now your pictures that you left behind are just memories of a different life
Some that made us laugh, some that made us cry, one that made you have to say goodbye
What I'd give to run my fingers through your hair, to touch your lips, to hold you near
When you say your prayers, try to understand
I've made mistakes, I'm just a man

When he holds you close, when he pulls you near
When he says the words you've been needin' to hear
I'll wish I was him, 'cause those words are mine
To say to you 'til the end of time

And I will love you, baby
Always
And I'll be there forever and a day
Always

If you told me to cry for you
I could
If you told me to die for you
I would
Take a look at my face, there's no price I won't pay
To say these words to you


Well, there ain't no luck in these loaded dice
But, baby, if you give me just one more try
We can pack up our old dreams and our old lives
We'll find a place where the sun still shines

Yeah, I will love you, baby
Always
And I'll be there forever and a day
Always
I'll be there 'til the stars don't shine
'Til the heavens burst and the words don't rhyme
I know when I die, you'll be on my mind
And I'll love you
Always
Always

Oh, baby, don't you throw it away
Baby, don't you throw it away
Oh, baby, don't you throw it away, yeah, yeah
Come on
Away, yeah, yeah, yeah, yeah, yeah
Oh, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah","rock, hard rock, classic rock, 80s, hair metal"
91,92,"""I'm the Only One""",Melissa Etheridge,"9 ContributorsI’m the Only One LyricsFrom Yes I Am (1993).
#1 on Adult Contemporary charts in January 1995.
Please, baby, can't you see
My mind's a burnin' hell
I got razors a-rippin' and tearin' and strippin'
My heart apart as well
Tonight you told me
That you ache for somethin' new
And some other woman is lookin' like somethin'
That might be good for you

Go on and hold her 'til the screamin' is gone
Go on, believe her when she tells you nothing's wrong

But I'm the only one
Who'll walk across a fire for you
And I'm the only one
Who'll drown in my desire for you
It's only fear that makes you run
The demons that you're hiding from
When all your promises are gone
I'm the only one

Please, baby, can't you see
I'm tryin' to explain
I've been here before and I'm lockin' the door
And I'm not goin' back again
Her eyes and arms and skin
Won't make it go away
You'll wake up tomorrow and wrestle the sorrow
That holds you down today

Go on and hold her 'til the screamin' is gone
Go on, believe her when she tells you nothing's wrong

But I'm the only one
Who'll walk across a fire for you
And I'm the only one
Who'll drown in my desire for you
It's only fear that makes you run
The demons that you're hiding from
When all your promises are gone
I'm the only one


Go on and hold her 'til the screamin' is gone
Go on, believe her when she tells you nothing's wrong

But I'm the only one
Who'll walk across a fire for you
And I'm the only one
Who'll drown in my desire for you
It's only fear that makes you run
The demons that you're hiding from
When all your promises are gone
I'm the only one, yeah
And I'm the only one
Who'll drown in my desire for you
It's only fear that makes you run
The demons that you're hiding from
When all your promises are gone
I'm the only one

I'm the only one, baby
I'm the only one
Ain't nobody else is gonna love you
Ain't nobody else is gonna love you
Ooh","rock, female vocalists, singer-songwriter, folk, female vocalist"
92,93,"""Back in the Day""",Ahmad,"39 ContributorsBack in the Day Lyrics“Back in the Day” was Ahmad’s one-hit-wonder, a song about wishing his life was as a simple as when he was younger – no responsibilities, no fears, no worries – just living life.
He was only 18 when he wrote… Read More 
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again

I remember (Back in the days)
When I just a little niggarole
I looked up to my bigger bro
Begged if I could kick it, so
When he went out with girls I could go tagging along, nagging
If she had a sis, maybe could mack a baby hoodrat
Y'all remember way back then, when it was 1985?
All the way live, I think I was about 10
One of those happy little niggas singing the blues
That be always trying to bag with the shag and karate shoes
Sayin' ""Yo momma black,"" his momma ""this,"" his momma ""that""
Then he get mad and wanna scrap
We stay mad about–10 minutes, then it's like–back on the bike
To play hide-and-go-get-it with the younger hoes by the bungalows
Then switch to playing Ding Dong Ditch, when that gets
Old and too cold to hack it, threw on a bomber jacket
You could tell the ballers 'cause they bell wearing Gazelles
And if they really had money, rays be sporting BK's
And, all the girls had they Turkish link
If it broke then they made earrings to it, like they meant to do it
But, sometimes, I still sit and reminisce, then
Think about the years I was raised, back in the days

Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again

And everybody say (I remember way back when)
And everybody say (I remember way back when)
And everybody say (I remember way back when)
What? (Back in the day) When? (Back in the day)

I'm still back in the days, but now the year is '87, '88
That's when my crew and I were in junior high
In 7th grade, I hated school (Wish it had blown up)
No doubt, I couldn't wait to get out (And be a grown-up)
But let me finish this reminiscing and telling
'Bout when girls was belling tight corduroys, like–for the boys
Basket weaves, Nike Cortez, and footsie socks
And eating pickles, with Tootsie Pops, and it don't stop
I'm glad, 'cause when J.J. Fad did ""Supersonic""
It was kinda like a sport to wear biker shorts
Or, to wear jeans, and it seemed like the masses
Of hoochies had ""Poison"" airbrushed on they asses
Dudes had on Nike suits, and the Pumas with the fat laces
'Cause it was either that or K-Swiss
I miss those days, and so I pout like a grown jerk
Wishing all I had to do now, was finish homework
It's true, you don't realize really what you got 'til it's gone
And I'm not, gonna sing another sad song, but
Sometimes I do sit and reminisce, then
Think about the years I was raised, back in the days

Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again

And everybody say (I remember way back when)
And everybody say (I remember way back when)
And everybody say (I remember way back when)
What? (Back in the day) When? (Back in the day)

Well, it's the niggarole,
I figure that now I'm all grown up, because I'm 18 years old
And guess you could say I'm holding down a steady job and
Crew steady mobbing, you steady bobbing
Your head, and I'm paid, so I got it made
But, didn't always have clout, used to live in South Central LA
That's where I stayed, and figured a way out
I gave it all I had, so for what it's worth –
I went from rags to riches, which is a drag, but now I'm first
So Ahmad and The Jones'es is on our way up
Yup, we said that we was gonna make it since a kid
And we finally did – but
Sometimes I still sit and reminisce, then
Think about the years I was raised, back in the days

Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again
Back in the days, when I was young
I'm not a kid anymore
But some days I sit and wish I was a kid again

And everybody say (I remember way back when)
And everybody say (I remember way back when)
And everybody say (I remember way back when)
What? (Back in the day) When? (Back in the day)","Hip-Hop, rap, hip hop, 90s, west coast"
93,94,"""Love Sneakin' Up On You""",Bonnie Raitt,"4 ContributorsLove Sneakin’ Up on You LyricsRainy night, I'm all alone
Sittin here waiting for your voice on the phone
Fever turns
To cold, cold sweat thinkin about things we ain't done yet
Tell me now
I gotta know, do you feel the same?
Do you just light up at the mention of my name?
Don't worry baby, it ain't nothin new
That's just love sneakin up on you
And if your whole world is shakin, feel like I do
That's just love sneakin up on you
Hey heyyy yea
Nowhere on earth for your heart to hide
Once love comes sneakin up on your blind side
You might as well
Try to stop the rain
Stand in the track of a runaway train
Just can't fight it when a thing is meant to be yea
Come on let's finish what you started with me
Yeeaahhh
Don't worry baby, it ain't nothin new
That's just love sneakin up on you
And if your whole world is shakin, feel like I do
That's just love sneakin up on you

Heeey yea
Don't worry baby, it ain't nothin new
That's just love sneakin up on you
And if your whole world is shakin, feel like I do
That's just love sneakin up on you
(repeat)","blues, female vocalists, singer-songwriter, country, rock"
94,95,"""I'll Take You There (from Threesome)""",General Public,,"new wave, 80s, ska, pop, british"
95,96,"""Always in My Heart""",Tevin Campbell,"9 ContributorsAlways In My Heart LyricsAlways in My Heart peaked at #20 on the Billboard Hot 100 and #6 on Billboard’s R&B Singles chart.
Music Video
Where do they get off telling you
That I am not the least bit into you?
Just tell me how the hell they can tell you
They know what's in my heart
What do they get from telling you
That I don't give a damn about you?
Just tell me why the hell
Somebody wants to tear your heart apart

Oh why, oh why, oh why, oh why, oh why
Why do them people have to tell you lies?
I know, I know, I know, I know, I know
I love you more than words could ever show
I can't, I can't, I can't, I can't explain
Why do some people have to be that way?
I can't take much more, I can't ignore
I have to let you know what's in my heart

If I never ever say that I love you
Just remember, girl, I'm saying I do
You can know that from this moment
You are always in my heart
If I never ever say that I love you
Just remember, girl, I'm saying I do love you
You'll be always in my heart

They're not the ones who'll be there for you
When you need someone to turn to
They won't be anywhere
Be anywhere when things start falling down, oh yeah
They're only in it to confuse you
So they can turn around and use you
But it can't happen
It won't happen, girl, as long as I'm around

Oh why, oh why, oh why, oh why, oh why
Why do some people have to tell you lies?
I know, I know, I know, I know, I know
I love you more than words could ever show
I can't, I can't, I can't, I can't explain
Why do some people have to be that way?
I can't take much more, I can't ignore
I have to let you know what's in my heart

If I never ever say that I love you (Yeah)
Just remember, girl, I'm saying I do (Saying I do, yeah)
You can know that from this moment
You are always in my heart (Baby)
If I never ever say that I love you, baby
Just remember, girl, I'm saying I do (I do) love you (Love you, baby)
You'll be always in my heart

Oh, why
Why, why, why
Yeah
Why did you have to listen to the lies?
Oh, girl
My sweet girl
There is only you inside my world
Oh, please, baby, please
Yeah, I wish you could believe in me
Right now, right now
If only you could know

If I never ever say that I love you
Just remember, girl, I'm saying I do
You can know that from this moment
You are always in my heart (Baby)
If I never ever say that I love you
Just remember, girl, I'm saying I do love you (Love you, yeah)
You'll be always in my heart (And baby, baby)
If I never ever say that I love you (You better believe it)
Just remember, girl, I'm saying I do (You gotta believe in me, baby, yeah)
You can know that from this moment
You are always in my heart (Yeah, yeah)
If I never ever say that I love you (Say that I love you, baby)
Just remember, girl, I'm saying I do love you
You'll be always in my heart (Love you, yeah, baby)
If I never ever say that I love you (Yeah)
Just remember, girl, I'm saying I do (You gotta believe me)
You can know that from this moment
You are always in my heart (Always, always, always in my heart)
If I never ever say that I love you (Yeah, yeah)
Just remember, girl, I'm saying I do love you
You'll be always in my heart","rnb, 90s, soul, male vocalists, urban"
96,97,"""What Is Love""",Haddaway,"69 ContributorsTranslationsDeutschPortuguêsΕλληνικάWhat Is Love? LyricsHaddaway’s “What Is Love” is a classic for at least three reasons:

Its timeless, iconic, and instantly recognizable refrain “What is love? Baby don’t hurt me, don’t hurt me no more”.
Its central role in… Read More 
What is love?
Oh, baby, don't hurt me
Don't hurt me, no more
Oh, baby, don't hurt me
Don't hurt me, no more

What is love? Yeah-yeah
(Ooh, ooh)

No, I don't know why you're not there
I give you my love, but you don't care
So what is right and what is wrong?
Give me a sign

What is love?
Oh, baby, don't hurt me
Don't hurt me, no more
What is love?
Oh, baby, don't hurt me
Don't hurt me, no more

Woah-woah-woah-woah
Oh-woah-woah, uh-huh
Woah-woah-woah-woah
Oh-woah-woah, uh-huh


Oh, I don't know, what can I do?
What else can I say? It's up to you
I know we're one, just me and you
I can't go on

What is love?
Oh, baby, don't hurt me
Don't hurt me, no more
What is love?
Oh, baby, don't hurt me
Don't hurt me, no more

Woah-woah-woah-woah
Oh-woah-woah, uh-huh
Woah-woah-woah-woah
Oh-woah-woah, uh-huh

What is love?
(Ooh-ooh, ooh-ooh, ooh-ooh)
What is love?
(Ooh-ooh, ooh-ooh, ooh-ooh)
What is love?
Oh, baby, don't hurt me
Don't hurt me, no more

Don't hurt me
Don't hurt me

I want no other, no other lover
This is our life, our time
When we are together, I need you forever
Is it love?

What is love?
Oh, baby, don't hurt me
Don't hurt me, no more
What is love?
Oh, baby, don't hurt me
Don't hurt me, no more

(Uh-huh, uh-huh)
Oh, baby, don't hurt me
Don't hurt me no more
(Uh-huh, uh-huh)
Oh, baby, don't hurt me
Don't hurt me, no more
What is love?","dance, eurodance, 90s, pop, electronic"
97,98,"""And Our Feelings""",Babyface,"3 ContributorsAnd Our Feelings Lyrics
We fell in love
And who could blame us?
The word was we were just beside ourselves
And everybody said it wouldn't last
Now they wonder why we didn't last
We fell in love
It seemed so righteous
Couldn't compare our love to no one else
And everybody thought we could not win
It's no wonder love came to an end

And our feelings just aren't feelings anymore
They're just words that come from whispers
From people we don't know
And our feelings, yeah, just aren't feelings anymore
They're just words without emotion
From people who don't know
Who don't know

We fell apart
The bond was broken
Should've kept our thoughts between ourselves
And though they say they cared, they didn't help
Makes me wonder, should we blame ourselves?
So here we are brokenhearted
What in the world have we done to ourselves?
When everybody says to let it end, baby
Well, it makes me wonder, we can't let them win

And our feelings, just aren't feelings anymore
They're just words that come from whispers
From people we don't know
Don't you know that our feelings just aren't feelings anymore
They're just words without emotion
From people who don't know

If we'd only just try, we could make it by
And maybe in time, we could make it right
If we only had done what we should've done
We'd both be here still making love
I wanna know that, that we can go back
Back to a time when the loving was all that
When no one could come between our love

And our feelings just aren't feelings anymore
They're just words that come from whispers from people we don't know
And our feelings, just aren't feelings anymore
They're just words without emotion
From people who don't know (No, no, no, no, no, no)
And our feelings (Feelings) just aren't feelings anymore (No more)
They're just words that come from whispers from people we don't know
(We don't know, baby)
And our feelings (Oh, oh) just aren't feelings anymore
(No, baby)
They're just words without emotion (They're just words, baby)
From people who don't know","rnb, soul, male vocalists, pop, rhythm and blues"
